State;Sex;Title;Reward;Description;Link;Additional;Fields of study
Delaware;Male;Horatio Alger State Scholarship - Delaware;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Delaware;Male;Educational Benefits for Children of Deceased Veterans and Others;Varies;Offers legal residents of Delaware who are dependents of deceased veterans and others a full tuition scholarship.;https://www.doe.k12.de.us/Page/1005;Military Family;Any Major
Delaware;Male;First State Manufactured Housing Association Scholarship;$1,000;For legal residents of Delaware who have been a resident of a manufactured home for at least one year prior to the application.;https://www.doe.k12.de.us/Page/1005;Generic;Any Major
Delaware;Male;Scholarship Incentive Program;Varies;For legal residents of Delaware enrolling full-time in an undergraduate or graduate degree program at a nonprofit, regionally accredited institution in Delaware or Pennsylvania.;https://www.doe.k12.de.us/Page/1005;Generic;Any Major
Delaware;Female;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Delaware;Female;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Delaware;Female;Horatio Alger State Scholarship - Delaware;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Delaware;Female;Educational Benefits for Children of Deceased Veterans and Others;Varies;Offers legal residents of Delaware who are dependents of deceased veterans and others a full tuition scholarship.;https://www.doe.k12.de.us/Page/1005;Military Family;Any Major
Delaware;Female;First State Manufactured Housing Association Scholarship;$1,000;For legal residents of Delaware who have been a resident of a manufactured home for at least one year prior to the application.;https://www.doe.k12.de.us/Page/1005;Generic;Any Major
Delaware;Female;Scholarship Incentive Program;Varies;For legal residents of Delaware enrolling full-time in an undergraduate or graduate degree program at a nonprofit, regionally accredited institution in Delaware or Pennsylvania.;https://www.doe.k12.de.us/Page/1005;Generic;Any Major
District of Columbia;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
District of Columbia;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
District of Columbia;Male;Horatio Alger State Scholarship - DC Metro Area;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
District of Columbia;Male;Horatio Alger State Scholarship - DC, Maryland, Virginia;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
District of Columbia;Male;Sylvia M. Young Smith Scholarship;$100,000;This merit-based scholarship provides $25,000 annually to 6 African American students attending Historically Black Colleges and Universities.;https://scholarships.uncf.org/;African American;Any Major
District of Columbia;Female;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
District of Columbia;Female;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
District of Columbia;Female;Horatio Alger State Scholarship - DC Metro Area;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
District of Columbia;Female;Horatio Alger State Scholarship - DC, Maryland, Virginia;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
District of Columbia;Female;Sylvia M. Young Smith Scholarship;$100,000;This merit-based scholarship provides $25,000 annually to 6 African American students attending Historically Black Colleges and Universities.;https://scholarships.uncf.org/;African American;Any Major
Florida;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Florida;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Florida;Male;Horatio Alger State Scholarship - Florida;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Florida;Male;Arts for Life! Scholarship;$2,000;Arts for Life! annually awards $2,000 scholarships to 25 graduating high school seniors in Florida who demonstrate excellence in creative writing, dance, drama, music or visual art.;https://artsforlifeaward.org/apply/;Generic;Any Major
Florida;Male;Rosewood Family Scholarship;Varies;The Rosewood Family Scholarship Program was created to provide student financial assistance for a maximum of 50 eligible students who attend a state university, Florida college (public community college), or public postsecondary vocational technical school. Eligible students must be direct descendants of Rosewood families affected by the historical incidents of January 1923.;https://www.floridastudentfinancialaidsg.org/PDF/factsheets/Rosewood.pdf;Generic;Any Major
Florida;Male;Scholarships for Children and Spouses of Deceased or Disabled Veterans;Varies;The Scholarships for Children and Spouses of Deceased or Disabled Veterans (CSDDV) provides an award to dependent children or un-remarried spouses of qualified Florida veterans.;https://www.floridastudentfinancialaidsg.org/PDF/factsheets/CSDDV.pdf;Military Family;Any Major
Florida;Male;Stephanie Nicole Ross Foundation Graduate Scholarship;$1,000;SNRF welcomes applications for our 2019-20 scholarship award. Three $1,000 scholarships will be awarded to graduate students studying psychology, cognitive and behavioral science, or any related field at a college or university in the state of Florida in 2019-2020. Previous SNRF scholarship awardees are encouraged to apply for additional funding.;https://www.snrfoundation.org/scholarships;Generic;Education
Florida;Male;Bright Futures Scholarship Program;Varies;The Florida Bright Futures Scholarship Program establishes three lottery-funded scholarships to reward Florida high school graduates for high academic achievement.;https://www.floridastudentfinancialaidsg.org/SAPHome/SAPHome?url=home;Generic;Any Major
Florida;Male;Access to Better Learning and Education Grant Program;Varies;The Access to Better Learning and Education (ABLE) Grant Program provides tuition assistance to Florida undergraduate students enrolled in degree programs at eligible private Florida colleges or universities.;https://www.floridastudentfinancialaidsg.org/SAPHome/SAPHome?url=home;Generic;Any Major
Florida;Male;First Generation Matching Grant Program;Varies;Available to degree-seeking, resident, undergraduate students who demonstrate substantial financial need, and are enrolled in eligible participating postsecondary institutions. Eligible students have a parent(s) who has not earned a baccalaureate or higher degree.;https://www.floridastudentfinancialaidsg.org/PDF/factsheets/FGMG.pdf;Generic;Any Major
Florida;Male;Florida Incentive Scholarship Program;Varies;The Florida Incentive Scholarship Program is a merit scholarship for 2013-14 Florida high school graduates and thereafter who receive recognition as a National Merit or National Achievement Scholar. Eligible scholars will receive an award, which is equal to the institutional cost of attendance minus the sum of Bright Futures and the National Merit/Achievement award. An initial application is not required.;https://www.floridastudentfinancialaidsg.org/SAPHome/SAPHome?url=home;"
Minority";Any Major
Florida;Male;Florida Student Assistance Grant Program;Varies;The Florida Student Assistance Grant (FSAG) Program is a need-based grant program available to degree-seeking, resident, undergraduate students who demonstrate substantial financial need and are enrolled in participating postsecondary institutions.;https://www.floridastudentfinancialaidsg.org/PDF/factsheets/FSAG.pdf;Generic;Any Major
Florida;Male;Florida Work Experience Program;Varies;The Florida Work Experience Program (FWEP) is a need-based program providing eligible Florida students work experiences to complement and reinforce their educational and career goals.;https://www.floridastudentfinancialaidsg.org/SAPHome/SAPHome?url=home;Generic;Any Major
Florida;Male;Fort Lauderdale Alumnae Panhellenic Scholarship;Varies;Fort Lauderdale Alumnae Panhellenic is proud to provide scholarships that reflect the organization's belief in the development of character through service and high academic achievement. The scholarship offers educational support for those with strong academic track records and a desire to help others. They stand for service through the development of character inspired by the close contacts and deep friendships of individual Fraternity and Panhellenic life. The opportunity for wide and wise human services, through mutual respect and helpfulness, is a tenet by which we strive to live.;https://www.cfbroward.org/non-profits;Generic;Any Major
Florida;Male;Mary McLeod Bethune Scholarship Program;Varies;The Mary McLeod Bethune Scholarship (MMB) provides financial assistance to undergraduate students who meet scholastic requirements, demonstrate financial need, and attend Bethune-Cookman University, Edward Waters College, Florida A&M University, or Florida Memorial University. Each participating institution determines application procedures, deadlines, and student eligibility.;https://www.floridastudentfinancialaidsg.org/PDF/factsheets/MMB.pdf;Generic;Any Major
Florida;Male;Minority Teacher Education Scholarship - Florida Fund for Minority Teachers, Inc.;Varies;The Minority Teacher Education Scholarship (MTES) program is a collaborative performance-based scholarship program for African-American, Hispanic-American, Asian-American, and Native American students administered by the Florida Fund for Minority Teachers, Inc. (FFMT).;https://www.floridastudentfinancialaidsg.org/SAPHome/SAPHome?url=home;Generic;Education
Florida;Male;William L Boyd, IV, Florida Resident Access Grant;Varies;The William L. Boyd, IV, Florida Resident Access Grant (FRAG) Program provides tuition assistance to Florida undergraduate students attending an eligible private, non-profit Florida college or university. Each participating institution determines application procedures, deadlines, and student eligibility.;https://www.floridastudentfinancialaidsg.org/SAPHome/SAPHome?url=home;Generic;Any Major
Florida;Female;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Florida;Female;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Florida;Female;Horatio Alger State Scholarship - Florida;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Florida;Female;Arts for Life! Scholarship;$2,000;Arts for Life! annually awards $2,000 scholarships to 25 graduating high school seniors in Florida who demonstrate excellence in creative writing, dance, drama, music or visual art.;https://artsforlifeaward.org/apply/;Generic;Any Major
Florida;Female;Rosewood Family Scholarship;Varies;The Rosewood Family Scholarship Program was created to provide student financial assistance for a maximum of 50 eligible students who attend a state university, Florida college (public community college), or public postsecondary vocational technical school. Eligible students must be direct descendants of Rosewood families affected by the historical incidents of January 1923.;https://www.floridastudentfinancialaidsg.org/PDF/factsheets/Rosewood.pdf;Generic;Any Major
Florida;Female;Scholarships for Children and Spouses of Deceased or Disabled Veterans;Varies;The Scholarships for Children and Spouses of Deceased or Disabled Veterans (CSDDV) provides an award to dependent children or un-remarried spouses of qualified Florida veterans.;https://www.floridastudentfinancialaidsg.org/PDF/factsheets/CSDDV.pdf;Military Family;Any Major
Florida;Female;Stephanie Nicole Ross Foundation Graduate Scholarship;$1,000;SNRF welcomes applications for our 2019-20 scholarship award. Three $1,000 scholarships will be awarded to graduate students studying psychology, cognitive and behavioral science, or any related field at a college or university in the state of Florida in 2019-2020. Previous SNRF scholarship awardees are encouraged to apply for additional funding.;https://www.snrfoundation.org/scholarships;Generic;Education
Florida;Female;Bright Futures Scholarship Program;Varies;The Florida Bright Futures Scholarship Program establishes three lottery-funded scholarships to reward Florida high school graduates for high academic achievement.;https://www.floridastudentfinancialaidsg.org/SAPHome/SAPHome?url=home;Generic;Any Major
Florida;Female;Access to Better Learning and Education Grant Program;Varies;The Access to Better Learning and Education (ABLE) Grant Program provides tuition assistance to Florida undergraduate students enrolled in degree programs at eligible private Florida colleges or universities.;https://www.floridastudentfinancialaidsg.org/SAPHome/SAPHome?url=home;Generic;Any Major
Florida;Female;First Generation Matching Grant Program;Varies;Available to degree-seeking, resident, undergraduate students who demonstrate substantial financial need, and are enrolled in eligible participating postsecondary institutions. Eligible students have a parent(s) who has not earned a baccalaureate or higher degree.;https://www.floridastudentfinancialaidsg.org/PDF/factsheets/FGMG.pdf;Generic;Any Major
Florida;Female;Florida Incentive Scholarship Program;Varies;The Florida Incentive Scholarship Program is a merit scholarship for 2013-14 Florida high school graduates and thereafter who receive recognition as a National Merit or National Achievement Scholar. Eligible scholars will receive an award, which is equal to the institutional cost of attendance minus the sum of Bright Futures and the National Merit/Achievement award. An initial application is not required.;https://www.floridastudentfinancialaidsg.org/SAPHome/SAPHome?url=home;"
Minority";Any Major
Florida;Female;Florida Student Assistance Grant Program;Varies;The Florida Student Assistance Grant (FSAG) Program is a need-based grant program available to degree-seeking, resident, undergraduate students who demonstrate substantial financial need and are enrolled in participating postsecondary institutions.;https://www.floridastudentfinancialaidsg.org/PDF/factsheets/FSAG.pdf;Generic;Any Major
Florida;Female;Florida Work Experience Program;Varies;The Florida Work Experience Program (FWEP) is a need-based program providing eligible Florida students work experiences to complement and reinforce their educational and career goals.;https://www.floridastudentfinancialaidsg.org/SAPHome/SAPHome?url=home;Generic;Any Major
Florida;Female;Fort Lauderdale Alumnae Panhellenic Scholarship;Varies;Fort Lauderdale Alumnae Panhellenic is proud to provide scholarships that reflect the organization's belief in the development of character through service and high academic achievement. The scholarship offers educational support for those with strong academic track records and a desire to help others. They stand for service through the development of character inspired by the close contacts and deep friendships of individual Fraternity and Panhellenic life. The opportunity for wide and wise human services, through mutual respect and helpfulness, is a tenet by which we strive to live.;https://www.cfbroward.org/non-profits;Generic;Any Major
Florida;Female;Mary McLeod Bethune Scholarship Program;Varies;The Mary McLeod Bethune Scholarship (MMB) provides financial assistance to undergraduate students who meet scholastic requirements, demonstrate financial need, and attend Bethune-Cookman University, Edward Waters College, Florida A&M University, or Florida Memorial University. Each participating institution determines application procedures, deadlines, and student eligibility.;https://www.floridastudentfinancialaidsg.org/PDF/factsheets/MMB.pdf;Generic;Any Major
Florida;Female;Minority Teacher Education Scholarship - Florida Fund for Minority Teachers, Inc.;Varies;The Minority Teacher Education Scholarship (MTES) program is a collaborative performance-based scholarship program for African-American, Hispanic-American, Asian-American, and Native American students administered by the Florida Fund for Minority Teachers, Inc. (FFMT).;https://www.floridastudentfinancialaidsg.org/SAPHome/SAPHome?url=home;Generic;Education
Florida;Female;Tripp Family Fund for Educational Opportunity Scholarship;Varies;"In 1994, Broward County attorney Norman Tripp and his family established this scholarship to help women in transition achieve their educational goals. This full scholarship can be applied to tuition, books and fees. To be eligible, applicants must be a ""woman in transition,"" defined as a woman whose life experiences have led her to want to obtain her bachelor's degree in order to significantly better her professional opportunities. This includes but is not necessarily limited to: divorced or widowed women, women abandoned by their husbands, domestic violence survivors, and single mothers. Applicants must be a current Broward College student who will begin attending Florida Atlantic University (FAU) in the Spring 2017 term with the intent of completing a bachelor's degree (2+2 degree program), and must enroll and remain a full-time student at FAU (minimum 12 credits per semester), demonstrate financial need, have a cumulative GPA of 2.5 at Broward College, be a U.S. citizen, and be a resident of Broward County. Scholarship covers a maximum of 15 credits per semester.";https://www.cfbroward.org/non-profits;Generic;Any Major
Florida;Female;William L Boyd, IV, Florida Resident Access Grant;Varies;The William L. Boyd, IV, Florida Resident Access Grant (FRAG) Program provides tuition assistance to Florida undergraduate students attending an eligible private, non-profit Florida college or university. Each participating institution determines application procedures, deadlines, and student eligibility.;https://www.floridastudentfinancialaidsg.org/SAPHome/SAPHome?url=home;Generic;Any Major
Georgia;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Georgia;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Georgia;Male;Horatio Alger State Scholarship - Georgia;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Georgia;Male;Georgia Military College State Service Scholarship;Varies;Georgia Military College (GMC) State Service Scholarship Loan Program is a service cancelable loan program created to provide outstanding students with a full two-year scholarship loan. The student must agree to serve in the Georgia National Guard for a period of four years to complete service repayment (two years while attending GMC and two years after graduation).;https://www.gafutures.org/hope-state-aid-programs/military/gmc-state-service-program/;"
Active Military Duty";Any Major
Georgia;Male;Georgia Public Safety Memorial Grant Program;Varies;Public Safety Memorial Grant provides assistance to the dependent children of Georgia public safety officers who were permanently disabled or killed in the line of duty. Funds may be used toward the cost of attendance at eligible colleges or universities in Georgia.;https://www.gafutures.org/hope-state-aid-programs/scholarships-grants/public-safety-memorial-grant/;Generic;Any Major
Georgia;Male;Helping Educate Reservists and their Offspring (HERO) Scholarship;$2,000;Helping Educate Reservists and their Offspring (HERO) Scholarship provides assistance to members of the Georgia National Guard and U.S. Military Reservists, their children and spouses, who were deployed overseas on active duty service, on or after February 1, 2003, to a location designated as a combat zone.;https://www.gafutures.org/hope-state-aid-programs/scholarships-grants/georgia-hero/;Military;Any Major
Georgia;Male;HOPE Scholarship;Varies;The HOPE Scholarship (Helping Outstanding Pupils Educationally) provides scholarship aid to Georgia residents attending a HOPE eligible college or university who maintain at least a 3.0 GPA. Most Georgia Colleges are eligible and award amounts vary by school and are typically between $1,000 and $4,000 per semester for full-time students.;https://www.gafutures.org/hope-state-aid-programs/hope-zell-miller-scholarships/hope-scholarship/;Generic;Any Major
Georgia;Male;John R Justice Prosecutors and Defenders Incentive Act of 2008;$10,000;The John R. Justice Prosecutors and Defenders Incentive Act of 2008 was passed by Congress to encourage qualified individuals to enter or continue employment as prosecutors and public defenders. The Georgia Student Finance Authority (GSFA) is the designated state agency responsible for administering this program. Applicants applied to GSFA based on the programmatic criteria set forth by the United States Department of Justice (USDOJ).;;Generic;Any Major
Georgia;Male;Scholarship for Engineering Education (SEE) Service Cancelable Loan;$3,500;Scholarship for Engineering Education (SEE) Program provides financial assistance to Georgia residents attending an eligible private postsecondary institution and enrolled in an engineering program of study approved by the Engineering Accreditation Commission of the Accrediting Board of Engineering and Technology (ABET). The purpose of the program is to attract and grow the number of qualified engineers in Georgia. In return, students agree to work for a period of time after graduation in an engineering-related field in Georgia.;https://www.gafutures.org/hope-state-aid-programs/loans/see/;Generic;Any Major
Georgia;Male;Scholarship for Engineering Education for Minorities Service Cancellable Loan Program;Varies;Created in 2015, MSEE is a service cancelable loan available to upperclassmen at eligible state colleges that can be used for tuition, room and board, or other educational expenses. In return, students agree to work in Georgia after graduation in an engineering-related field for a reduction in the loan's balance.;;"
Minority";Any Major
Georgia;Female;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Georgia;Female;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Georgia;Female;Horatio Alger State Scholarship - Georgia;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Georgia;Female;Georgia Military College State Service Scholarship;Varies;Georgia Military College (GMC) State Service Scholarship Loan Program is a service cancelable loan program created to provide outstanding students with a full two-year scholarship loan. The student must agree to serve in the Georgia National Guard for a period of four years to complete service repayment (two years while attending GMC and two years after graduation).;https://www.gafutures.org/hope-state-aid-programs/military/gmc-state-service-program/;"
Active Military Duty";Any Major
Georgia;Female;Georgia Public Safety Memorial Grant Program;Varies;Public Safety Memorial Grant provides assistance to the dependent children of Georgia public safety officers who were permanently disabled or killed in the line of duty. Funds may be used toward the cost of attendance at eligible colleges or universities in Georgia.;https://www.gafutures.org/hope-state-aid-programs/scholarships-grants/public-safety-memorial-grant/;Generic;Any Major
Georgia;Female;Helping Educate Reservists and their Offspring (HERO) Scholarship;$2,000;Helping Educate Reservists and their Offspring (HERO) Scholarship provides assistance to members of the Georgia National Guard and U.S. Military Reservists, their children and spouses, who were deployed overseas on active duty service, on or after February 1, 2003, to a location designated as a combat zone.;https://www.gafutures.org/hope-state-aid-programs/scholarships-grants/georgia-hero/;Military;Any Major
Georgia;Female;HOPE Scholarship;Varies;The HOPE Scholarship (Helping Outstanding Pupils Educationally) provides scholarship aid to Georgia residents attending a HOPE eligible college or university who maintain at least a 3.0 GPA. Most Georgia Colleges are eligible and award amounts vary by school and are typically between $1,000 and $4,000 per semester for full-time students.;https://www.gafutures.org/hope-state-aid-programs/hope-zell-miller-scholarships/hope-scholarship/;Generic;Any Major
Georgia;Female;John R Justice Prosecutors and Defenders Incentive Act of 2008;$10,000;The John R. Justice Prosecutors and Defenders Incentive Act of 2008 was passed by Congress to encourage qualified individuals to enter or continue employment as prosecutors and public defenders. The Georgia Student Finance Authority (GSFA) is the designated state agency responsible for administering this program. Applicants applied to GSFA based on the programmatic criteria set forth by the United States Department of Justice (USDOJ).;;Generic;Any Major
Georgia;Female;Scholarship for Engineering Education (SEE) Service Cancelable Loan;$3,500;Scholarship for Engineering Education (SEE) Program provides financial assistance to Georgia residents attending an eligible private postsecondary institution and enrolled in an engineering program of study approved by the Engineering Accreditation Commission of the Accrediting Board of Engineering and Technology (ABET). The purpose of the program is to attract and grow the number of qualified engineers in Georgia. In return, students agree to work for a period of time after graduation in an engineering-related field in Georgia.;https://www.gafutures.org/hope-state-aid-programs/loans/see/;Generic;Any Major
Georgia;Female;Scholarship for Engineering Education for Minorities Service Cancellable Loan Program;Varies;Created in 2015, MSEE is a service cancelable loan available to upperclassmen at eligible state colleges that can be used for tuition, room and board, or other educational expenses. In return, students agree to work in Georgia after graduation in an engineering-related field for a reduction in the loan's balance.;;"
Minority";Any Major
Hawaii;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Hawaii;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Hawaii;Male;Horatio Alger State Scholarship - Hawaii;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Hawaii;Male;HPUBiz4 Good Scholarship Competition;Full Tuition;The HPUBiz4Good Scholarship Competition offers full 4 year tuition at Hawai'i Pacific University College of Business to seniors in high school in the state of Hawaii.;http://www.hawaiipublicschools.org/TeachingAndLearning/CollegeAndCareerReadiness/ScholarshipsAndFinancialAid/Pages/home.aspx?sctitle=*&scgrade=*&sctype=*&scdeadline=1%2f1%2f1900&;Generic;Any Major
Hawaii;Male;Hawaii Rotary Youth Foundation;$10,000;The Hawaii Rotary Youth Foundation grants $5,000 scholarship awards to graduating Hawaii high school seniors applying as full-time students to an accredited four-year college or university in the United States.;http://www.hawaiipublicschools.org/TeachingAndLearning/CollegeAndCareerReadiness/ScholarshipsAndFinancialAid/Pages/home.aspx?sctitle=*&scgrade=*&sctype=*&scdeadline=1%2f1%2f1900&;Generic;Any Major
Hawaii;Male;Mamoru and Aiko Takitani Foundation Scholarship;$2,000;An outstanding graduating senior will be selected by each qualifying school to receive a $1,000 scholarship.;http://takitanifoundation.org/for-students/;Generic;Any Major
Hawaii;Female;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Hawaii;Female;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Hawaii;Female;Horatio Alger State Scholarship - Hawaii;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
